,N/A (Born in the US),,,,,,,Before 1950,,,,,,,1950 - 1959,,,,,,,1960 - 1969,,,,,,,1970 - 1979,,,,,,,1980 - 1989,,,,,,,1990 - 1999,,,,,,,2000 - 2009,,,,,,,2010 or later,,,,,,
,no_highschool,highschool_reg,highschool_ged,college_some_no_degree,college_degree,masters,doctorate,no_highschool,highschool_reg,highschool_ged,college_some_no_degree,college_degree,masters,doctorate,no_highschool,highschool_reg,highschool_ged,college_some_no_degree,college_degree,masters,doctorate,no_highschool,highschool_reg,highschool_ged,college_some_no_degree,college_degree,masters,doctorate,no_highschool,highschool_reg,highschool_ged,college_some_no_degree,college_degree,masters,doctorate,no_highschool,highschool_reg,highschool_ged,college_some_no_degree,college_degree,masters,doctorate,no_highschool,highschool_reg,highschool_ged,college_some_no_degree,college_degree,masters,doctorate,no_highschool,highschool_reg,highschool_ged,college_some_no_degree,college_degree,masters,doctorate,no_highschool,highschool_reg,highschool_ged,college_some_no_degree,college_degree,masters,doctorate
us_citizen,26509,23235,1803,14929,19960,8006,1226,0,0,0,0,26,0,0,42,40,0,43,33,34,47,230,190,11,67,90,10,12,149,395,0,80,267,181,40,271,302,0,257,363,156,124,214,740,26,299,450,167,24,460,751,24,357,335,324,0,170,74,16,24,209,0,0
not_us_citizen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,15,0,0,5,16,0,0,63,0,0,212,89,66,141,15,190,0,1182,595,78,193,153,287,21,1073,244,82,75,973,358,104
-> Alsatian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,784,569,65,1051,1780,1623,376,0,0,0,0,0,0,0,0,0,0,18,0,50,0,0,0,0,10,13,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
not_us_citizen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-> Austrian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,38876,41499,5164,61962,99382,54749,7766,283,532,20,527,665,833,230,1118,1781,277,1482,1758,838,207,476,1127,186,793,1564,882,162,181,347,138,243,727,662,69,70,92,70,192,821,537,87,108,299,132,247,809,460,162,255,102,40,236,333,434,23,213,0,0,30,90,70,0
not_us_citizen,0,0,0,0,0,0,0,36,20,0,0,0,0,0,130,290,0,128,22,0,11,78,226,15,192,125,31,32,22,61,43,191,291,57,13,8,131,0,349,443,218,113,45,358,14,156,806,501,84,69,160,41,195,498,692,528,517,543,121,659,1112,1577,505
-> Basque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
