ancestry,0_kids,1_kids,2_kids,3_kids,4_kids,5_kids,6_kids,7_kids,8_kids,9_kids,10_kids,11_kids,12_plus_kids,NA_kids
Alsatian,4721,754,455,207,187,0,0,0,0,0,0,0,0,43
Austrian,252362,34243,35551,12040,3245,919,450,223,180,16,0,0,0,6646
Basque,26948,6120,5985,2422,788,118,2,0,0,0,0,0,0,470
Belgian,132921,22653,25435,10753,3902,500,551,140,0,0,0,0,0,2828
Flemish,4703,279,1037,241,88,107,0,0,0,0,0,0,0,87
British,901703,148182,166817,61779,23860,8114,2468,1081,489,42,13,0,0,16380
British Isles,66241,6279,8490,3068,1587,846,29,135,0,0,0,0,0,374
Danish,478005,69518,83577,46317,20522,6509,3076,329,440,33,58,0,0,11440
Dutch,1377657,251861,293231,141254,55701,14973,6743,1945,2576,1534,378,0,0,40279
English,10611959,1635484,1819770,805641,307341,90209,32254,9770,4468,3515,503,297,340,224854
Finnish,271371,49624,60192,24006,9485,3826,2980,2685,1026,741,201,46,0,5809
French,2750509,520762,557157,222833,69536,17466,6058,1666,1343,181,0,110,0,88326
German,17773790,3681975,4243513,1923561,637641,183532,64842,24204,13253,7411,3071,1203,506,597396
Prussian,21146,4765,3836,1498,1145,91,32,0,0,0,0,0,0,480
Greek,582857,130888,149850,58496,16356,3926,782,270,402,28,0,0,0,22219
Icelander,19315,4636,4744,2343,1479,125,113,0,0,284,0,0,0,725
Irish,11817129,2499005,2783719,1210066,362371,91620,31281,9858,4005,2483,291,541,108,439456
Italian,7514376,1724915,1950149,765717,204735,52554,17076,3434,2580,407,106,0,7,275619
Sicilian,87874,19141,22009,8334,2343,244,117,236,143,0,0,0,0,3975
Luxembourger,15555,1826,1625,715,388,0,0,0,0,0,0,0,0,451
Maltese,16729,2825,3760,1913,515,145,0,0,0,0,0,0,0,417
Norwegian,1783623,331829,400423,178108,62548,14446,4645,1702,550,390,138,0,2,49921
Portuguese,572104,136783,147661,53067,15164,2813,555,338,0,11,14,0,0,16760
Scotch Irish,1581199,228250,234702,95626,27689,9506,1810,1134,525,46,59,0,0,33590
Scottish,2194557,395564,412899,169117,59700,13995,6817,1363,1002,124,14,14,0,60227
Swedish,1403746,233829,273129,110089,41140,10588,2942,2401,938,233,0,299,82,37185
